Flight_Number,Launch_Date,Launch_Site,Booster_Version,Payload_Name,Payload_Mass,Payload_Orbit,Customer_Name,Mission_Outcome,Landing_Outcome
1,2006-03-24T22:30:00.000Z,Kwajalein Atoll,Merlin1A,FalconSAT-2,,,DARPA,False,False
2,2007-03-21T01:10:00.000Z,Kwajalein Atoll,Merlin2A,DemoSAT,,,DARPA,False,False
3,2008-08-02T03:34:00.000Z,Kwajalein Atoll,Merlin1C,Trailblazer,,LEO,NASA,False,False
4,2008-09-28T23:15:00.000Z,Kwajalein Atoll,Merlin2C,RatSat,,,SpaceX,True,False
5,2009-07-13T03:35:00.000Z,Kwajalein Atoll,Merlin3C,RazakSAT,,,ATSB,True,False
6,2010-06-04T18:45:00.000Z,CCAFS SLC 40,B0003,Dragon Qualification Unit,,,SpaceX,True,False
7,2010-12-08T15:43:00.000Z,CCAFS SLC 40,B0004,COTS Demo Flight 1,,LEO,NASA(COTS),True,False
8,2012-05-22T07:44:00.000Z,CCAFS SLC 40,B0005,COTS Demo Flight 2,,,NASA(COTS),True,
9,2012-10-08T00:35:00.000Z,CCAFS SLC 40,B0006,SpaceX CRS-1,400.0,LEO,NASA (CRS),True,
10,2013-03-01T19:10:00.000Z,CCAFS SLC 40,B0007,SpaceX CRS-2,,,NASA (CRS),True,
11,2013-09-29T16:00:00.000Z,VAFB SLC 4E,B1003,CASSIOPE,,,MDA,True,False
12,2013-12-03T22:41:00.000Z,CCAFS SLC 40,B1004,SES-8,,,SES,True,
13,2014-01-06T18:06:00.000Z,CCAFS SLC 40,B1005,Thaicom 6,,,Thaicom,True,
14,2014-04-18T19:25:00.000Z,CCAFS SLC 40,B1006,SpaceX CRS-3,,,NASA (CRS),True,True
15,2014-07-14T15:15:00.000Z,CCAFS SLC 40,B1007,Orbcomm-OG2-M1,,,Orbcomm,True,True
16,2014-08-05T08:00:00.000Z,CCAFS SLC 40,B1008,AsiaSat 8,,,AsiaSat,True,
17,2014-09-07T05:00:00.000Z,CCAFS SLC 40,B1011,AsiaSat 6,,,AsiaSat,True,
18,2014-09-21T05:52:00.000Z,CCAFS SLC 40,B1010,SpaceX CRS-4,,,NASA (CRS),True,False
19,2015-01-10T09:47:00.000Z,CCAFS SLC 40,B1012,SpaceX CRS-5,,,NASA (CRS),True,False
