,Flight Number,Date,Time (UTC),Launch Site,Payload,Payload Mass (kg),Orbit,Customer,Mission Outcome,Landing Outcome
0,F1-1,24 March 2006,22:30,Marshall Islands,FalconSAT-2,19.5,,DARPA,Failure,
1,F1-2,21 March 2007,01:10,Marshall Islands,DemoSat,,,DARPA,Failure,
2,F1-3,3 August 2008,03:34,Marshall Islands,Trailblazer,,,ORS,Failure,
3,F1-3,3 August 2008,03:34,Marshall Islands,"PRESat, NanoSail-D",8.0,,NASA,Failure,
4,F1-3,3 August 2008,03:34,Marshall Islands,Explorers,,,Celestis,Failure,
5,F1-4,28 September 2008,23:15,Marshall Islands,RatSat (DemoSat),165.0,Low Earth Orbit,,Success,
6,F1-5,14 July 2009,03:35,Marshall Islands,RazakSAT,180.0,Low Earth Orbit,ATSB,Success,
7,F9-1,4 June 2010,18:45,Cape Canaveral AFS LC-40,Dragon Spacecraft Qualification Unit,,Low Earth Orbit,,Success,Failure
8,F9-2,8 December 2010,15:43,Cape Canaveral AFS LC-40,SpaceX CRS (Dragon C1),,Low Earth Orbit,NASA,Success,Failure
9,F9-3,22 May 2012,07:44,Cape Canaveral AFS LC-40,SpaceX CRS (Dragon C2+),,Low Earth Orbit,NASA,Success,
10,F9-4,8 October 2012,00:35,Cape Canaveral AFS LC-40,SpaceX CRS-1,500.0,Low Earth Orbit,NASA,Success,
11,F9-4,8 October 2012,00:35,Cape Canaveral AFS LC-40,Orbcomm-OG2,150.0,Low Earth Orbit,Orbcomm,Failure,
12,F9-5,1 March 2013,15:10,Cape Canaveral AFS LC-40,SpaceX CRS-2,677.0,Low Earth Orbit,NASA,Success,
13,F9-6,29 September 2013,16:00,Vandenberg AFB SLC-4E,CASSIOPE,500.0,Polar Orbit,MDA Corp,Success,Failure
14,F9-7,3 December 2013,22:41,Cape Canaveral AFS LC-40,SES-8,3170.0,Geostationary Transfer Orbit,SES,Success,
15,F9-8,6 December 2014,22:06,Cape Canaveral AFS LC-40,Thaicom 6,3325.0,Geostationary Transfer Orbit,Thaicom,Success,
16,F9-9,18 April 2014,19:25,Cape Canaveral AFS LC-40,SpaceX CRS-3,2296.0,Low Earth Orbit,NASA,Success,Success
17,F9-10,14 July 2014,15:15,Cape Canaveral AFS LC-40,OG2 Mission 1 (6 OG2 Satellites),,Low Earth Orbit,Orbcomm,Success,Success
18,F9-11,5 August 2014,08:00,Cape Canaveral AFS LC-40,AsiaSat 8,4535.0,Geostationary Transfer Orbit,AsiaSat,Success,
19,F9-12,7 September 2014,05:00,Cape Canaveral AFS LC-40,AsiaSat 6,4428.0,Geostationary Transfer Orbit,AsiaSat,Success,
20,F9-13,21 September 2014,05:52,Cape Canaveral AFS LC-40,SpaceX CRS-4,2216.0,Geostationary Transfer Orbit,NASA,Success,Success
21,F9-14,10 January 2015,09:47,Cape Canaveral AFS LC-40,SpaceX CRS-5,2395.0,Low Earth Orbit,NASA,Success,Failure
22,F9-15,11 February 2015,23:03,Cape Canaveral AFS LC-40,DSCOVR,570.0,Sun/Earth Orbit,US Air Force; NASA; NOAA,Success,Success
23,F9-16,2 March 2015,03:50,Cape Canaveral AFS LC-40,ABS-3A,4159.0,Geostationary Transfer Orbit,Asia Broadcast Satellite,Success,
24,F9-16,2 March 2015,03:50,Cape Canaveral AFS LC-40,Eutelsat 115 West B (Satmex 7),4159.0,Geostationary Transfer Orbit,Eutelsat (Satmex),Success,
25,F9-17,14 April 2015,20:10,Cape Canaveral AFS LC-40,SpaceX CRS-6,1898.0,Low Earth Orbit,NASA,Success,Failure
26,F9-18,27 April 2015,23:03,Cape Canaveral AFS LC-40,TurkmenAlem 52E/MonacoSAT,4707.0,Geostationary Transfer Orbit,Turkmenistan NSA,Success,
27,F9-19,28 June 2015,14:21,Cape Canaveral AFS LC-40,SpaceX CRS-7,1952.0,Low Earth Orbit,NASA,Failure,
28,FT-1,22 December 2015,01:29,Cape Canaveral AFS LC-40,OG2 Mission 2 (11 OG2 Satellites),,Low Earth Orbit,Orbcomm,Success,Success
29,F9-21,17 January 2016,18:42,Vandenberg AFB SLC-4E,Jason-3,553.0,Low Earth Orbit,NASA; NOAA; CNES,Success,Failure
30,FT-2,4 March 2016,23:35,Cape Canaveral AFS LC-40,SES-9,5271.0,Geostationary Transfer Orbit,SES,Success,Failure
31,FT-3,8 April 2016,20:43,Cape Canaveral AFS LC-40,SpaceX CRS-8,3136.0,Low Earth Orbit,NASA,Success,Success
32,FT-4,6 May 2016,05:21,Cape Canaveral AFS LC-40,JCSAT-14,4696.0,Geostationary Transfer Orbit,SKY Perfect JSAT Group,Success,Success
