flight_number,launch_date,launch_site,payload_name,payload_mass,payload_orbit,customer_name,mission_outcome,landing_outcome
F1-1,24-Mar-06,"Marshall Islands",FalconSAT-2,19.5,NULL,DARPA,Failure,NULL
F1-2,21-Mar-07,"Marshall Islands",DemoSat,NULL,NULL,DARPA,Failure,NULL
F1-3,3-Aug-08,"Marshall Islands",Trailblazer,NULL,NULL,ORS,Failure,NULL
F1-3,3-Aug-08,"Marshall Islands","PRESat, NanoSail-D",8,NULL,NASA,Failure,NULL
F1-3,3-Aug-08,"Marshall Islands",Explorers,NULL,NULL,Celestis,Failure,NULL
F1-4,28-Sep-08,"Marshall Islands","RatSat (DemoSat)",165,"Low Earth Orbit",NULL,Success,NULL
F1-5,14-Jul-09,"Marshall Islands",RazakSAT,180,"Low Earth Orbit",ATSB,Success,NULL
F9-1,4-Jun-10,"Cape Canaveral AFS LC-40","Dragon Spacecraft Qualification Unit",NULL,"Low Earth Orbit",NULL,Success,Failure
F9-2,8-Dec-10,"Cape Canaveral AFS LC-40","SpaceX CRS (Dragon C1)",NULL,"Low Earth Orbit",NASA,Success,Failure
F9-3,22-May-12,"Cape Canaveral AFS LC-40","SpaceX CRS (Dragon C2+)",NULL,"Low Earth Orbit",NASA,Success,NULL
F9-4,8-Oct-12,"Cape Canaveral AFS LC-40","SpaceX CRS-1",500,"Low Earth Orbit",NASA,Success,NULL
F9-4,8-Oct-12,"Cape Canaveral AFS LC-40",Orbcomm-OG2,150,"Low Earth Orbit",Orbcomm,Failure,NULL
F9-5,1-Mar-13,"Cape Canaveral AFS LC-40","SpaceX CRS-2",677,"Low Earth Orbit",NASA,Success,NULL
F9-6,29-Sep-13,"Vandenberg AFB SLC-4E",CASSIOPE,500,"Polar Orbit","MDA Corp",Success,Failure
F9-7,3-Dec-13,"Cape Canaveral AFS LC-40",SES-8,3170,"Geostationary Transfer Orbit",SES,Success,NULL
F9-8,6-Dec-14,"Cape Canaveral AFS LC-40","Thaicom 6",3325,"Geostationary Transfer Orbit",Thaicom,Success,NULL
F9-9,18-Apr-14,"Cape Canaveral AFS LC-40","SpaceX CRS-3",2296,"Low Earth Orbit",NASA,Success,Success
F9-10,14-Jul-14,"Cape Canaveral AFS LC-40","OG2 Mission 1 (6 OG2 Satellites)",NULL,"Low Earth Orbit",Orbcomm,Success,Success
F9-11,5-Aug-14,"Cape Canaveral AFS LC-40","AsiaSat 8",4535,"Geostationary Transfer Orbit",AsiaSat,Success,NULL
F9-12,7-Sep-14,"Cape Canaveral AFS LC-40","AsiaSat 6",4428,"Geostationary Transfer Orbit",AsiaSat,Success,NULL
F9-13,21-Sep-14,"Cape Canaveral AFS LC-40","SpaceX CRS-4",2216,"Geostationary Transfer Orbit",NASA,Success,Success
F9-14,10-Jan-15,"Cape Canaveral AFS LC-40","SpaceX CRS-5",2395,"Low Earth Orbit",NASA,Success,Failure
F9-15,11-Feb-15,"Cape Canaveral AFS LC-40",DSCOVR,570,"Sun/Earth Orbit","US Air Force; NASA; NOAA",Success,Success
F9-16,2-Mar-15,"Cape Canaveral AFS LC-40",ABS-3A,4159,"Geostationary Transfer Orbit","Asia Broadcast Satellite",Success,NULL
F9-16,2-Mar-15,"Cape Canaveral AFS LC-40","Eutelsat 115 West B (Satmex 7)",4159,"Geostationary Transfer Orbit","Eutelsat (Satmex)",Success,NULL
F9-17,14-Apr-15,"Cape Canaveral AFS LC-40","SpaceX CRS-6",1898,"Low Earth Orbit",NASA,Success,Failure
F9-18,27-Apr-15,"Cape Canaveral AFS LC-40","TurkmenAlem 52E/MonacoSAT",4707,"Geostationary Transfer Orbit","Turkmenistan NSA",Success,NULL
F9-19,28-Jun-15,"Cape Canaveral AFS LC-40","SpaceX CRS-7",1952,"Low Earth Orbit",NASA,Failure,NULL
FT-1,22-Dec-15,"Cape Canaveral AFS LC-40","OG2 Mission 2 (11 OG2 Satellites)",NULL,"Low Earth Orbit",Orbcomm,Success,Success
F9-21,17-Jan-16,"Vandenberg AFB SLC-4E",Jason-3,553,"Low Earth Orbit","NASA; NOAA; CNES",Success,Failure
FT-2,4-Mar-16,"Cape Canaveral AFS LC-40",SES-9,5271,"Geostationary Transfer Orbit",SES,Success,Failure
FT-3,8-Apr-16,"Cape Canaveral AFS LC-40","SpaceX CRS-8",3136,"Low Earth Orbit",NASA,Success,Success
FT-4,6-May-16,"Cape Canaveral AFS LC-40",JCSAT-14,4696,"Geostationary Transfer Orbit","SKY Perfect JSAT Group",Success,Success
FT-5,27-May-16,"Cape Canaveral AFS LC-40","Thaicom 8",3100,"Geostationary Transfer Orbit",Thaicom,Success,Success
FT-6,15-Jun-16,"Cape Canaveral AFS LC-40",ABS-2A,3600,"Geostationary Transfer Orbit","Asia Broadcast Satellite",Success,Failure
FT-6,15-Jun-16,"Cape Canaveral AFS LC-40","Eutelsat 117 West B (Satmex 9)",3600,"Geostationary Transfer Orbit","Eutelsat (Satmex)",Success,Failure
FT-7,18-Jul-16,"Cape Canaveral AFS LC-40","SpaceX CRS-9",2257,"Low Earth Orbit",NASA,Success,Success
FT-8,14-Aug-16,"Cape Canaveral AFS LC-40",JCSAT-16,4600,"Geostationary Transfer Orbit","SKY Perfect JSAT Group",Success,Success
FT-9,1-Sep-16,"Cape Canaveral AFS LC-40",Amos-6,5500,"Geostationary Transfer Orbit",Spacecom,Failure,NULL
FT-10,14-Jan-17,"Vandenberg AFB SLC-4E","Iridium NEXT 1-10",9600,"Low Earth Orbit","Iridium Communications",Success,Success
FT-11,19-Feb-17,"Kennedy Space Center LC-39A","SpaceX CRS-10",2490,"Low Earth Orbit",NASA,Success,Success
1,2006-03-24T22:30:00.000Z,"Kwajalein Atoll",FalconSAT-2,NULL,NULL,DARPA,0,0
2,2007-03-21T01:10:00.000Z,"Kwajalein Atoll",DemoSAT,NULL,NULL,DARPA,0,0
3,2008-08-02T03:34:00.000Z,"Kwajalein Atoll",Trailblazer,NULL,LEO,NASA,0,0
4,2008-09-28T23:15:00.000Z,"Kwajalein Atoll",RatSat,NULL,NULL,SpaceX,1,0
5,2009-07-13T03:35:00.000Z,"Kwajalein Atoll",RazakSAT,NULL,NULL,ATSB,1,0
6,2010-06-04T18:45:00.000Z,"CCAFS SLC 40","Dragon Qualification Unit",NULL,NULL,SpaceX,1,0
7,2010-12-08T15:43:00.000Z,"CCAFS SLC 40","COTS Demo Flight 1",NULL,LEO,NASA(COTS),1,0
8,2012-05-22T07:44:00.000Z,"CCAFS SLC 40","COTS Demo Flight 2",NULL,NULL,NASA(COTS),1,NULL
9,2012-10-08T00:35:00.000Z,"CCAFS SLC 40","SpaceX CRS-1",400,LEO,"NASA (CRS)",1,NULL
10,2013-03-01T19:10:00.000Z,"CCAFS SLC 40","SpaceX CRS-2",NULL,NULL,"NASA (CRS)",1,NULL
11,2013-09-29T16:00:00.000Z,"VAFB SLC 4E",CASSIOPE,NULL,NULL,MDA,1,0
12,2013-12-03T22:41:00.000Z,"CCAFS SLC 40",SES-8,NULL,NULL,SES,1,NULL
13,2014-01-06T18:06:00.000Z,"CCAFS SLC 40","Thaicom 6",NULL,NULL,Thaicom,1,NULL
14,2014-04-18T19:25:00.000Z,"CCAFS SLC 40","SpaceX CRS-3",NULL,NULL,"NASA (CRS)",1,1
15,2014-07-14T15:15:00.000Z,"CCAFS SLC 40",Orbcomm-OG2-M1,NULL,NULL,Orbcomm,1,1
16,2014-08-05T08:00:00.000Z,"CCAFS SLC 40","AsiaSat 8",NULL,NULL,AsiaSat,1,NULL
17,2014-09-07T05:00:00.000Z,"CCAFS SLC 40","AsiaSat 6",NULL,NULL,AsiaSat,1,NULL
18,2014-09-21T05:52:00.000Z,"CCAFS SLC 40","SpaceX CRS-4",NULL,NULL,"NASA (CRS)",1,0
19,2015-01-10T09:47:00.000Z,"CCAFS SLC 40","SpaceX CRS-5",NULL,NULL,"NASA (CRS)",1,0
20,2015-02-11T23:03:00.000Z,"CCAFS SLC 40",DSCOVR,NULL,NULL,NASA,1,1
21,2015-03-02T03:50:00.000Z,"CCAFS SLC 40",ABS-3A,2205,GTO,ABS,1,NULL
22,2015-04-14T20:10:00.000Z,"CCAFS SLC 40","SpaceX CRS-6",NULL,NULL,"NASA (CRS)",1,0
23,2015-04-27T23:03:00.000Z,"CCAFS SLC 40","Turkmenistan / MonacoSAT",NULL,NULL,"Turkmenistan National Space Agency",1,NULL
24,2015-06-28T14:21:00.000Z,"CCAFS SLC 40","SpaceX CRS-7",NULL,NULL,"NASA (CRS)",0,NULL
25,2015-12-22T01:29:00.000Z,"CCAFS SLC 40",Orbcomm-OG2-M2,NULL,NULL,Orbcomm,1,1
26,2016-01-17T15:42:00.000Z,"VAFB SLC 4E",Jason-3,NULL,NULL,NASA,1,0
27,2016-03-04T23:35:00.000Z,"CCAFS SLC 40",SES-9,NULL,NULL,SES,1,0
28,2016-04-08T20:43:00.000Z,"CCAFS SLC 40","SpaceX CRS-8",NULL,NULL,"NASA (CRS)",1,1
29,2016-05-06T05:21:00.000Z,"CCAFS SLC 40",JCSAT-2B,NULL,NULL,"SKY Perfect JSAT Group",1,1
30,2016-05-27T21:39:00.000Z,"CCAFS SLC 40","Thaicom 8",NULL,NULL,Thaicom,1,1
31,2016-06-15T14:29:00.000Z,"CCAFS SLC 40",ABS-2A,1800,GTO,ABS,1,0
32,2016-07-18T04:45:00.000Z,"CCAFS SLC 40","SpaceX CRS-9",NULL,NULL,"NASA (CRS)",1,1
33,2016-08-14T05:26:00.000Z,"CCAFS SLC 40",JCSAT-16,NULL,NULL,"SKY Perfect JCSAT Group",1,1
34,2016-09-01T13:07:00.000Z,"CCAFS SLC 40",Amos-6,NULL,NULL,Spacecom,0,NULL
35,2017-01-14T17:54:00.000Z,"VAFB SLC 4E","Iridium NEXT 1",NULL,NULL,"Iridium Communications",1,1
36,2017-02-19T14:39:00.000Z,"KSC LC 39A","SpaceX CRS-10",NULL,NULL,"NASA (CRS)",1,1
37,2017-03-16T06:00:00.000Z,"KSC LC 39A","EchoStar 23",NULL,NULL,EchoStar,1,NULL
38,2017-03-30T22:27:00.000Z,"KSC LC 39A",SES-10,NULL,NULL,SES,1,1
39,2017-05-01T11:15:00.000Z,"KSC LC 39A",NROL-76,NULL,NULL,NRO,1,1
40,2017-05-15T23:21:00.000Z,"KSC LC 39A","Inmarsat-5 F4",NULL,NULL,Inmarsat,1,NULL
41,2017-06-03T21:07:00.000Z,"KSC LC 39A","SpaceX CRS-11",NULL,NULL,"NASA (CRS)",1,1
42,2017-06-23T19:10:00.000Z,"KSC LC 39A",BulgariaSat-1,NULL,NULL,"Bulgaria Sat",1,1
43,2017-06-25T13:25:00.000Z,"VAFB SLC 4E","Iridium NEXT 2",NULL,NULL,"Iridium Communications",1,1
44,2017-07-05T23:35:00.000Z,"KSC LC 39A","Intelsat 35e",NULL,NULL,Intelsat,1,NULL
45,2017-08-14T16:31:00.000Z,"KSC LC 39A","SpaceX CRS-12",NULL,NULL,"NASA (CRS)",1,1
46,2017-08-24T18:50:00.000Z,"VAFB SLC 4E",FormoSat-5,NULL,NULL,"NSPO (Taiwan)",1,1
47,2017-09-07T13:50:00.000Z,"KSC LC 39A","X-37B OTV-5",NULL,NULL,USAF,1,1
